participantID,gesture,repetition,frameID,time,pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,pixel220,pixel221,pixel222,pixel223,pixel224,pixel225,pixel226,pixel227,pixel228,pixel229,pixel230,pixel231,pixel232,pixel233,pixel234,pixel235,pixel236,pixel237,pixel238,pixel239,pixel240,pixel241,pixel242,pixel243,pixel244,pixel245,pixel246,pixel247,pixel248,pixel249,pixel250,pixel251,pixel252,pixel253,pixel254,pixel255,pixel256,pixel257,pixel258,pixel259,pixel260,pixel261,pixel262,pixel263,pixel264,pixel265,pixel266,pixel267,pixel268,pixel269,pixel270,pixel271,pixel272,pixel273,pixel274,pixel275,pixel276,pixel277,pixel278,pixel279,pixel280,pixel281,pixel282,pixel283,pixel284,pixel285,pixel286,pixel287,pixel288,pixel289,pixel290,pixel291,pixel292,pixel293,pixel294,pixel295,pixel296,pixel297,pixel298,pixel299,pixel300,pixel301,pixel302,pixel303,pixel304,pixel305,pixel306,pixel307,pixel308,pixel309,pixel310,pixel311,pixel312,pixel313,pixel314,pixel315,pixel316,pixel317,pixel318,pixel319,pixel320,pixel321,pixel322,pixel323,pixel324,pixel325,pixel326,pixel327,pixel328,pixel329,pixel330,pixel331,pixel332,pixel333,pixel334,pixel335,pixel336,pixel337,pixel338,pixel339,pixel340,pixel341,pixel342,pixel343,pixel344,pixel345,pixel346,pixel347,pixel348,pixel349,pixel350,pixel351,pixel352,pixel353,pixel354,pixel355,pixel356,pixel357,pixel358,pixel359,pixel360,pixel361,pixel362,pixel363,pixel364,pixel365,pixel366,pixel367,pixel368,pixel369,pixel370,pixel371,pixel372,pixel373,pixel374,pixel375,pixel376,pixel377,pixel378,pixel379,pixel380,pixel381,pixel382,pixel383,pixel384,pixel385,pixel386,pixel387,pixel388,pixel389,pixel390,pixel391,pixel392,pixel393,pixel394,pixel395,pixel396,pixel397,pixel398,pixel399,pixel400,pixel401,pixel402,pixel403,pixel404,pixel405,pixel406,pixel407,pixel408,pixel409,pixel410,pixel411,pixel412,pixel413,pixel414,pixel415,pixel416,pixel417,pixel418,pixel419,pixel420,pixel421,pixel422,pixel423,pixel424,pixel425,pixel426,pixel427,pixel428,pixel429,pixel430,pixel431,pixel432,pixel433,pixel434,pixel435,pixel436,pixel437,pixel438,pixel439,pixel440,pixel441,pixel442,pixel443,pixel444,pixel445,pixel446,pixel447,pixel448,pixel449,pixel450,pixel451,pixel452,pixel453,pixel454,pixel455
0,8,7,2,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,5,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,2,2,0,14,5,5,14,5,0,0,0
0,8,7,3,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,14,5,5,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,5,2,2,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,17,14,14,11,5,0,0,0
0,8,7,4,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,14,5,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,5,5,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,5,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,11,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,11,2,2,11,11,0,0,0
0,8,7,5,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,22,2,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,28,28,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,34,36,17,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,34,45,39,31,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,28,39,31,22,19,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,25,39,25,25,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,25,17,11,25,19,0,0,5,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,14,25,14,11,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,11,5,5,25,14,11,17,14,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,11,5,2,14,17,17,2,11,17,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,5,0,5,2,5,5,17,11,0,5
0,8,7,6,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,56,42,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,65,107,90,36,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,42,121,130,113,65,36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,51,124,119,119,82,45,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,45,79,85,90,68,48,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,34,59,56,56,42,39,25,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,36,39,45,31,28,22,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,19,34,28,25,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,28,22,19,19,25,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,17,11,17,11,25,19,17,19,14,5,0,2
0,8,7,7,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,51,121,99,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,51,121,223,178,87,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,107,243,255,209,147,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,130,235,218,255,172,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,96,133,138,170,119,65,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,62,87,82,90,70,85,68,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,42,59,56,59,59,65,42,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,31,31,36,34,45,53,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,11,17,25,28,31,34,19,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,5,5,5,19,17,11,45,19,2,0,0
0,8,7,8,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,2,5,2,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,2,11,5,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,17,14,17,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,22,19,14,5,19,11,5,0,0,0,0,0,5,0,0,0,5,0,0,0,2,0,2,2,22,11,11,5,17,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,5,0,2,14,22,11,17,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,5,17,11,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,5,25,28,31,31,14,17,17,0,2,0
0,8,7,9,830,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,25,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,36,31,19,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,36,39,36,25,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,28,31,28,22,19,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,22,31,25,19,28,17,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,5,0,25,25,19,11,25,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,19,28,14,11,19,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,2,5,11,31,14,17,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,14,5,5,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,5,19,5,14,17,14,2,0,0
0,8,7,10,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,22,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,19,31,42,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,42,62,73,48,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,70,85,79,59,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,34,73,90,82,70,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,68,68,65,68,48,19,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,11,28,51,45,42,42,39,25,5,2,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,22,34,39,34,36,28,25,2,2,5,0,0,0,0,0,0,0,0,2,0,0,2,11,5,14,22,28,28,31,31,22,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,14,19,22,17,22,14,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,5,19,17,11,25,19,11,5,5
0,8,7,11,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,17,5,2,5,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,5,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,17,2,17,19,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,19,19,28,25,28,17,11,2,0,2
0,8,7,12,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,53,104,48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,79,141,198,116,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,51,181,238,209,198,107,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,68,198,221,198,235,104,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,56,119,133,113,147,73,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,42,76,73,59,73,65,68,17,2,2,0,0,0,0,2,0,0,0,0,0,0,0,5,0,31,45,51,42,51,48,53,5,2,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,17,22,39,31,39,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,14,19,11,22,28,22,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,5,5,14,11,5,17,17,0,0,0
0,8,7,13,1164,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,11,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,14,5,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,17,11,17,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,25,19,11,11,34,14,2,0,11,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,19,17,5,5,17,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,11,0,2,17,17,5,11,25,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,11,0,5,14,17,14,5,17,17,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,14,0,14,17,25,22,31,31,19,5,0,5
